REGION_NUM,REGION_NAME,FOREST_NAME,RANGER_DISTRICT,CITY,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,MT. BAKER,SEDRO WOOLLEY,WA,"SEDRO WOOLLEY, WA",Hotshot Crew,YES,,http://www.fs.usda.gov/mbs
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,SKYKOMISH,SKYKOMISH,WA,"SKYKOMISH, WA",,,,http://www.fs.usda.gov/mbs
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,SNOQUALMIE,ENUMCLAW,WA,"ENUMCLAW, WA",,,,http://www.fs.usda.gov/mbs
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,SNOQUALMIE,NORTH BEND,WA,"NORTH BEND, WA",Engine,YES,,http://www.fs.usda.gov/mbs
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,,CONCRETE,WA,"CONCRETE, WA",Engine,YES,,http://www.fs.usda.gov/mbs
6,Pacific Northwest,OKANOGAN-WENATCHEE,CHELAN,CHELAN,WA,"CHELAN, WA",IA Crew/Squad (4-10 person),YES,,http://www.fs.usda.gov/okawen
6,Pacific Northwest,OKANOGAN-WENATCHEE,CLE ELUM,CLE ELUM,WA,"CLE ELUM, WA","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Fuels, Prevention",YES,"Bunkhouse on station for 8 people. Also have 2 more bunkhouses (1 in Liberty and 1 in Snoqualmie Pass, both about 30 mins away). ",http://www.fs.usda.gov/okawen
6,Pacific Northwest,OKANOGAN-WENATCHEE,ENTIAT,ENTIAT,WA,"ENTIAT, WA","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Hotshot Crew",YES,Housing is out of cell service and there isn't enough for everyone. Most rent a room or live out of vehicles.,http://www.fs.usda.gov/okawen
6,Pacific Northwest,OKANOGAN-WENATCHEE,METHOW VALLEY,WINTHROP,WA,"WINTHROP, WA","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) ",YES,,http://www.fs.usda.gov/okawen
6,Pacific Northwest,OKANOGAN-WENATCHEE,NACHES,NACHES,WA,"NACHES, WA","Engine, Type 2/2IA Handcrew  (Dedicated 20+person)Prevention",YES,,http://www.fs.usda.gov/okawen
6,Pacific Northwest,OKANOGAN-WENATCHEE,TONASKET,TONASKET,WA,"TONASKET, WA","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Fuels, Prevention",NO,,http://www.fs.usda.gov/okawen
