Code,City,County,State
10590123,CARRVILLE,TALLAPOOSA,ALABAMA
10600035,CASTLEBERRY,CONECUH,ALABAMA
10603131,CATHERINE,WILCOX,ALABAMA
10608101,CECIL,MONTGOMERY,ALABAMA
10610019,CEDAR BLUFF,CHEROKEE,ALABAMA
10615073,CENTER POINT,JEFFERSON,ALABAMA
10618051,CENTRAL,ELMORE,ALABAMA
10620007,CENTREVILLE,BIBB,ALABAMA
10630019,CENTRE,CHEROKEE,ALABAMA
10636073,CHALKVILLE,JEFFERSON,ALABAMA
10637061,CHANCELLOR,GENEVA,ALABAMA
10638025,CHANCE,CLARKE,ALABAMA
10640013,CHAPMAN,BUTLER,ALABAMA
10644089,CHASE,MADISON,ALABAMA
10650129,CHATOM,WASHINGTON,ALABAMA
10655117,CHELSEA,SHELBY,ALABAMA
10660033,CHEROKEE,COLBERT,ALABAMA
10670097,CHICKASAW,MOBILE,ALABAMA
10680121,CHILDERSBURG,TALLADEGA,ALABAMA
10683015,CHOCCOLOCCO,CALHOUN,ALABAMA
10684023,CHOCTAW,CHOCTAW,ALABAMA
10685097,CHUNCHULA,MOBILE,ALABAMA
10690097,CITRONELLE,MOBILE,ALABAMA
10700021,CLANTON,CHILTON,ALABAMA
10705127,CLARKE,WALKER,ALABAMA
10708073,CLAY,JEFFERSON,ALABAMA
10710005,CLAYTON,BARBOUR,ALABAMA
10712045,CLAYHATCHEE,DALE,ALABAMA
10715009,CLEVELAND,BLOUNT,ALABAMA
10717063,CLINTON,GREENE,ALABAMA
10718125,COALING,TUSCALOOSA,ALABAMA
10719025,CLOPTON,CLARKE,ALABAMA
10720005,CLIO,BARBOUR,ALABAMA
10721077,CLOVERDALE,LAUDERDALE,ALABAMA
10722119,COATOPA,SUMTER,ALABAMA
10723097,CODEN,MOBILE,ALABAMA
10724073,COALBURG,JEFFERSON,ALABAMA
10730061,COFFEE SPRINGS,GENEVA,ALABAMA
10740025,COFFEEVILLE,CLARKE,ALABAMA
10743125,COKER,TUSCALOOSA,ALABAMA
10745015,COLDWATER,CALHOUN,ALABAMA
10750049,COLLINSVILLE,DE KALB,ALABAMA
10760069,COLUMBIA,HOUSTON,ALABAMA
10770117,COLUMBIANA,SHELBY,ALABAMA
10773115,COOK SPRINGS,SAINT CLAIR,ALABAMA
10774005,COMER,BARBOUR,ALABAMA
10776051,COOSADA,ELMORE,ALABAMA
10780127,CORDOVA,WALKER,ALABAMA
10787125,COTTONDALE,TUSCALOOSA,ALABAMA
10788113,COTTONTON,RUSSELL,ALABAMA
10790069,COTTONWOOD,HOUSTON,ALABAMA
10798009,COUNTY LINE,BLOUNT,ALABAMA
10798073,COUNTY LINE,JEFFERSON,ALABAMA
10800079,COURTLAND,LAWRENCE,ALABAMA
10801069,COVINGTON,HOUSTON,ALABAMA
10802069,COWARTS,HOUSTON,ALABAMA
10803131,COY,WILCOX,ALABAMA
10804027,CRAGFORD,CLAY,ALABAMA
10805047,CRAIG AF BASE,DALLAS,ALABAMA
10806043,CRANE HILL,CULLMAN,ALABAMA
10807097,CREOLA,MOBILE,ALABAMA
10808023,CROMWELL,CHOCTAW,ALABAMA
10809115,CROPWELL,SAINT CLAIR,ALABAMA
10810049,CROSSVILLE,DE KALB,ALABAMA
10820119,CUBA,SUMTER,ALABAMA
10830043,CULLMAN,CULLMAN,ALABAMA
10835017,CUSSETA,CHAMBERS,ALABAMA
10836065,CYPRESS,HALE,ALABAMA
10840123,DADEVILLE,TALLAPOOSA,ALABAMA
10845045,DALEVILLE,DALE,ALABAMA
10855103,DANVILLE,MORGAN,ALABAMA
10860003,DAPHNE,BALDWIN,ALABAMA
10863131,DARLINGTON,WILCOX,ALABAMA
10865097,DAUPHIN ISLAND,MOBILE,ALABAMA
10870123,DAVISTON,TALLAPOOSA,ALABAMA
10875049,DAWSON,DE KALB,ALABAMA
10880091,DAYTON,MARENGO,ALABAMA
10883015,DE ARMANVILLE,CALHOUN,ALABAMA
10885051,DEATSVILLE,ELMORE,ALABAMA
10890103,DECATUR,MORGAN,ALABAMA
10891129,DEER PARK,WASHINGTON,ALABAMA
10892133,DELMAR,WINSTON,ALABAMA
10895027,DELTA,CLAY,ALABAMA
10900091,DEMOPOLIS,MARENGO,ALABAMA
10904025,DICKINSON,CLARKE,ALABAMA
10905075,DETROIT,LAMAR,ALABAMA
10906073,DIXIANA,JEFFERSON,ALABAMA
10907091,DIXONS MILLS,MARENGO,ALABAMA
10910073,DOCENA,JEFFERSON,ALABAMA
10915073,DOLOMITE,JEFFERSON,ALABAMA
10920127,DORA,WALKER,ALABAMA
10930069,DOTHAN,HOUSTON,ALABAMA
10940133,DOUBLE SPRINGS,WINSTON,ALABAMA
10943095,DOUGLAS,MARSHALL,ALABAMA
10950041,DOZIER,CRENSHAW,ALABAMA
10952099,DREWRY,MONROE,ALABAMA
10953125,DUNCANVILLE,TUSCALOOSA,ALABAMA
10954071,DUTTON,JACKSON,ALABAMA
10955015,EASTABOGA,CALHOUN,ALABAMA
10960053,EAST BREWTON,ESCAMBIA,ALABAMA
