REGION,FOREST,DISTRICT,TOWN,STATE,LOCATION,Resource Types,Housing,NOTES,Site
"PACIFIC SOUTHWEST REGION, REGION 5",SEQUOIA NF,HUME LAKE RD,HUME,CALIFORNIA,"HUME,CALIFORNIA",,,,http://www.fs.usda.gov/sequoia/
"PACIFIC SOUTHWEST REGION, REGION 5",SAN BERNARDINO NF,SAN JACINTO RD,IDYLLWILD,CALIFORNIA,"IDYLLWILD,CALIFORNIA",,,,http://www.fs.usda.gov/sbnf/
"PACIFIC SOUTHWEST REGION, REGION 5",INYO NF,MT. WHITNEY RD,INDEPENDENCE,CALIFORNIA,"INDEPENDENCE,CALIFORNIA",,,,http://www.fs.usda.gov/inyo/
"PACIFIC SOUTHWEST REGION, REGION 5",INYO NF,MONO LAKE RD,JUNE LAKE,CALIFORNIA,"JUNE LAKE,CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/inyo/
"PACIFIC SOUTHWEST REGION, REGION 5",SEQUOIA NF,KERN RIVER RD,KERNVILLE,CALIFORNIA,"KERNVILLE,CALIFORNIA",,,,http://www.fs.usda.gov/sequoia/
"PACIFIC SOUTHWEST REGION, REGION 5",LOS PADRES NF,MONTEREY RD,KING CITY,CALIFORNIA,"KING CITY,CALIFORNIA",,,,http://www.fs.usda.gov/lpnf
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,HAPPY CAMP RD,KLAMATH RIVER,CALIFORNIA,"KLAMATH RIVER,CALIFORNIA","Engine, Hotshot Crew, Prevention",YES,,http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",SEQUOIA NF,KERN RIVER RD,LAKE ISABELLA,CALIFORNIA,"LAKE ISABELLA,CALIFORNIA",,,,http://www.fs.usda.gov/sequoia/
"PACIFIC SOUTHWEST REGION, REGION 5",LASSEN NF,EAGLE LAKE RD,LAKEHEAD,CALIFORNIA,"LAKEHEAD,CALIFORNIA",,,,http://www.fs.usda.gov/lassen
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,SHASTA-LAKE RD,LAKEHEAD,CALIFORNIA,"LAKEHEAD,CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",INYO NF,MONO LAKE RD,LEE VINING,CALIFORNIA,"LEE VINING,CALIFORNIA",,,,http://www.fs.usda.gov/inyo/
"PACIFIC SOUTHWEST REGION, REGION 5",INYO NF,MT. WHITNEY RD,LONE PINE,CALIFORNIA,"LONE PINE,CALIFORNIA",,,,http://www.fs.usda.gov/inyo/
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,SIERRAVILLE RD,LOYALTON,CALIFORNIA,"LOYALTON,CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",SAN BERNARDINO NF,FRONT COUNTRY RD,LYTLE CREEK,CALIFORNIA,"LYTLE CREEK,CALIFORNIA",,,,http://www.fs.usda.gov/sbnf/
"PACIFIC SOUTHWEST REGION, REGION 5",SAN BERNARDINO NF,MOUNTAINTOP RD,LYTLE CREEK,CALIFORNIA,"LYTLE CREEK,CALIFORNIA",,,,http://www.fs.usda.gov/sbnf/
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,GOOSENEST RD,MACDOEL,CALIFORNIA,"MACDOEL,CALIFORNIA","Engine, WFM, Fuels, Prevention, Tender",YES,,http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",MODOC NF,DEVILS GARDEN RD,MACDOEL,CALIFORNIA,"MACDOEL,CALIFORNIA",,,,http://www.fs.usda.gov/modoc
"PACIFIC SOUTHWEST REGION, REGION 5",SIX RIVERS NF,MAD RIVER RD,MAD RIVER,CALIFORNIA,"MAD RIVER,CALIFORNIA",,,,http://www.fs.usda.gov/srnf/
"PACIFIC SOUTHWEST REGION, REGION 5",INYO NF,MAMMOTH RD,MAMMOTH LAKES,CALIFORNIA,"MAMMOTH LAKES,CALIFORNIA",WFM,YES,,http://www.fs.usda.gov/inyo/
"PACIFIC SOUTHWEST REGION, REGION 5",LASSEN NF,HAT CREEK RD,MANZANITA LAKE,CALIFORNIA,"MANZANITA LAKE,CALIFORNIA",,,,http://www.fs.usda.gov/lassen
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,MCCLOUD RD,MCCLOUD,CALIFORNIA,"MCCLOUD,CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",STANISLAUS NF,MIWOK RD,MI-WUK VILLAGE,CALIFORNIA,"MI-WUK VILLAGE,CALIFORNIA",Hotshot Crew,YES,,http://www.fs.usda.gov/stanislaus/
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,MT. SHASTA RD,MOUNT SHASTA,CALIFORNIA,"MOUNT SHASTA,CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,MCCLOUD RD,MOUNTAIN GATE,CALIFORNIA,"MOUNTAIN GATE,CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,NEVADA CITY RD,NEVADA CITY,CALIFORNIA,"NEVADA CITY,CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",SIERRA NF,BASS LAKE RD,MARIPOSA,CALIFORNIA,"NORTH FORK,CALIFORNIA",,,,http://www.fs.usda.gov/sierra/
"PACIFIC SOUTHWEST REGION, REGION 5",SIERRA NF,BASS LAKE RD,NORTH FORK,CALIFORNIA,"NORTH FORK,CALIFORNIA",,,,http://www.fs.usda.gov/sierra/
"PACIFIC SOUTHWEST REGION, REGION 5",SIERRA NF,BASS LAKE RD,OAKHURST,CALIFORNIA,"OAKHURST,CALIFORNIA",Hotshot Crew,YES,,http://www.fs.usda.gov/sierra/
"PACIFIC SOUTHWEST REGION, REGION 5",LOS PADRES NF,OJAI RD,OJAI,CALIFORNIA,"OJAI,CALIFORNIA",,,,http://www.fs.usda.gov/lpnf
"PACIFIC SOUTHWEST REGION, REGION 5",LASSEN NF,HAT CREEK RD,OLD STATION,CALIFORNIA,"OLD STATION,CALIFORNIA",,,,http://www.fs.usda.gov/lassen
"PACIFIC SOUTHWEST REGION, REGION 5",SIX RIVERS NF,ORLEANS RD,ORLEANS,CALIFORNIA,"ORLEANS,CALIFORNIA","Engine, WFM, Fuels, Prevention",YES,,http://www.fs.usda.gov/srnf/
"PACIFIC SOUTHWEST REGION, REGION 5",PLUMAS NF,FEATHER RIVER RD,OROVILLE,CALIFORNIA,"OROVILLE,CALIFORNIA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/plumas/
"PACIFIC SOUTHWEST REGION, REGION 5",SAN BERNARDINO NF,SAN JACINTO RD,PALM DESERT,CALIFORNIA,"PALM DESERT,CALIFORNIA",,,,http://www.fs.usda.gov/sbnf/
"PACIFIC SOUTHWEST REGION, REGION 5",MENDOCINO NF,GRINDSTONE RD,PASKENTA,CALIFORNIA,"PASKENTA,CALIFORNIA",,,,http://www.fs.usda.gov/mendocino/
"PACIFIC SOUTHWEST REGION, REGION 5",STANISLAUS NF,SUMMIT RD,PINECREST,CALIFORNIA,"PINECREST,CALIFORNIA",,,,http://www.fs.usda.gov/stanislaus/
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,AMERICAN RIVER RD,PINECREST,CALIFORNIA,"PINECREST,CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",ELDORADO NF,AMADOR RD,PIONEER,CALIFORNIA,"PIONEER,CALIFORNIA",,,,http://www.fs.usda.gov/eldorado
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,YOLLA BOLLA RD,PLATINA,CALIFORNIA,"PLATINA,CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",ELDORADO NF,PACIFIC RD,GRIZZLY FLATS,CALIFORNIA,"GRIZZLY FLATS, CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/eldorado
"PACIFIC SOUTHWEST REGION, REGION 5",ELDORADO NF,PACIFIC RD,POLLOCK PINES,CALIFORNIA,"POLLOCK PINES,CALIFORNIA","Helitack, Engine, Hotshot Crew, Type 2/2IA Handcrew (Dedicated 20+person), IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/eldorado
"PACIFIC SOUTHWEST REGION, REGION 5",SIERRA NF,HIGH SIERRA RD,PRATHER,CALIFORNIA,"PRATHER,CALIFORNIA",,,,http://www.fs.usda.gov/sierra/
"PACIFIC SOUTHWEST REGION, REGION 5",PLUMAS NF,MT HOUGH RD,QUINCY,CALIFORNIA,"QUINCY,CALIFORNIA","Engine, Hotshot Crew, Helitack, Fuels, Prevention",YES,"Housing on site pretty nice, also Greenville and Belden (Gansner Bar) duty stations have housing.",http://www.fs.usda.gov/plumas/
"PACIFIC SOUTHWEST REGION, REGION 5",CLEVELAND NF,PALOMAR RD,RAMONA,CALIFORNIA,"RAMONA,CALIFORNIA",,,,http://www.fs.usda.gov/cleveland
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,REDDING AIR CENTER,REDDING,CALIFORNIA,"REDDING,CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",ANGELES NF,LOS ANGELES GATEWAY RD,SAN FERNANDO,CALIFORNIA,"SAN FERNANDO,CALIFORNIA","Engine, Hotshot Crew",YES,The San Fernando or LA Gateway RD duty location on The Angeles has 10 type 3 engines and 3 hotshot crews 7 of the 10 stations have barracks ,http://www.fs.usda.gov/angeles
"PACIFIC SOUTHWEST REGION, REGION 5",LOS PADRES NF,SANTA BARBARA RD,SANTA BARBARA,CALIFORNIA,"SANTA BARBARA,CALIFORNIA",Helitack,NO,Santa Ynez?,http://www.fs.usda.gov/lpnf
"PACIFIC SOUTHWEST REGION, REGION 5",LOS PADRES NF,SANTA LUCIA RD,SANTA MARIA,CALIFORNIA,"SANTA MARIA,CALIFORNIA",,,,http://www.fs.usda.gov/lpnf
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,SCOTT-SALMON RD,SAWYERS BAR,CALIFORNIA,"SAWYERS BAR,CALIFORNIA","Engine, Hotshot Crew",YES,2021 season has issues with generators powering compound. Salmon River Hotshots have moved to Fort Jones Station (may become a permanet switch). Engine 345 still staffs compound ,http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,HAPPY CAMP RD,SEIAD VALLEY,CALIFORNIA,"SEIAD VALLEY,CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,SIERRAVILLE RD,SIERRAVILLE,CALIFORNIA,"SIERRAVILLE,CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,TRUCKEE RD,SODA SPRINGS,CALIFORNIA,"SODA SPRINGS,CALIFORNIA",Engine,YES,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",LAKE TAHOE BASIN MANAGEMENT UNIT,LAKE TAHOE BASIN MANAGEMENT UNIT,SOUTH LAKE TAHOE,CALIFORNIA,"SOUTH LAKE TAHOE,CALIFORNIA",,,,http://www.fs.usda.gov/ltbmu/
"PACIFIC SOUTHWEST REGION, REGION 5",SEQUOIA NF,WESTERN DIVIDE RD,SPRINGVILLE,CALIFORNIA,"SPRINGVILLE,CALIFORNIA",,,,http://www.fs.usda.gov/sequoia/
"PACIFIC SOUTHWEST REGION, REGION 5",MENDOCINO NF,GRINDSTONE RD,STONYFORD,CALIFORNIA,"STONYFORD,CALIFORNIA","Engine, Hotshot Crew",YES,Housing is often at capacity,http://www.fs.usda.gov/mendocino/
